number;accumulated errors;
11304;0,122346;
11307;0,122402;
11315;0,122404;
11326;0,122373;
11335;0,122364;
11341;0,122388;
11347;0,122411;
11352;0,122445;
11360;0,122447;
11375;0,122374;
11386;0,122343;
11387;0,12242;
11416;0,122197;
11429;0,122145;
11430;0,122222;
11431;0,122299;
11441;0,12228;
11449;0,122281;
11459;0,122262;
11461;0,122328;
11471;0,122308;
11478;0,122321;
11486;0,122323;
11493;0,122335;
11503;0,122316;
11505;0,122382;
11517;0,122341;
11519;0,122406;
11528;0,122398;
11530;0,122463;
11534;0,122507;
11535;0,122583;
11538;0,122638;
11548;0,122619;
11550;0,122684;
11555;0,122717;
11559;0,122761;
11561;0,122827;
11577;0,122743;
11585;0,122745;
11586;0,122821;
11590;0,122865;
11592;0,12293;
11604;0,122889;
11606;0,122954;
11610;0,122997;
11613;0,123052;
11622;0,123043;
11628;0,123065;
11638;0,123045;
11645;0,123057;
11658;0,123006;
11661;0,12306;
11693;0,122809;
11698;0,122842;
11702;0,122885;
11704;0,122949;
11711;0,122961;
11713;0,123026;
11725;0,122985;
11732;0,122997;
11741;0,122988;
11747;0,12301;
11756;0,123001;
11767;0,122971;
11770;0,123025;
11771;0,123099;
11781;0,12308;
11784;0,123133;
11793;0,123124;
11795;0,123188;
11798;0,123241;
11803;0,123274;
11814;0,123244;
11821;0,123255;
11824;0,123309;
11825;0,123383;
11841;0,1233;
11844;0,123354;
11853;0,123344;
11856;0,123397;
11869;0,123347;
11871;0,12341;
11878;0,123421;
11879;0,123495;
11880;0,123569;
11885;0,123601;
11891;0,123623;
11892;0,123697;
11896;0,123739;
11901;0,123771;
11918;0,123678;
11923;0,12371;
11927;0,123753;
11928;0,123826;
11929;0,1239;
11933;0,123942;
11934;0,124015;
11935;0,124089;
11955;0,123965;
11967;0,123924;
11974;0,123935;
11979;0,123967;
11990;0,123937;
12006;0,123855;
12015;0,123845;
12016;0,123918;
12019;0,12397;
12024;0,124002;
12026;0,124065;
12030;0,124106;
12032;0,124169;
12037;0,1242;
12040;0,124252;
12041;0,124325;
12053;0,124284;
12054;0,124357;
12057;0,124409;
12069;0,124368;
12073;0,12441;
12076;0,124462;
12082;0,124483;
12094;0,124442;
12096;0,124504;
12108;0,124463;
12116;0,124464;
12119;0,124515;
12123;0,124557;
12124;0,124629;
12125;0,124701;
12133;0,124701;
12139;0,124722;
12141;0,124784;
12148;0,124794;
12166;0,124692;
12171;0,124723;
12175;0,124764;
12186;0,124733;
12199;0,124682;
12202;0,124734;
12203;0,124805;
12232;0,124591;
12235;0,124642;
12236;0,124714;
12237;0,124785;
12241;0,124826;
12244;0,124877;
12248;0,124918;
12249;0,12499;
12250;0,125061;
12253;0,125112;
12266;0,125061;
12286;0,124939;
12293;0,124949;
12316;0,124797;
12317;0,124868;
12323;0,124888;
12324;0,124959;
12344;0,124838;
12349;0,124868;
12355;0,124889;
12360;0,124919;
12362;0,12498;
12367;0,12501;
12369;0,125071;
12377;0,125071;
12379;0,125131;
12399;0,12501;
12408;0,125;
12416;0,125;
12419;0,12505;
12421;0,125111;
12437;0,12503;
12440;0,12508;
12441;0,125151;
12442;0,125221;
12450;0,125221;
12458;0,125221;
12461;0,125271;
12462;0,125341;
12463;0,125411;
